"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9434","Changing the sort order while on a page on than the first, resets users to the first page of results [63]","chromium","2026-03-31","passed","2026-03-31","","07-search.spec.ts","",""
"","14791","[Desktop] On the Product Listing Page, I am able to open the sort dropdown and sort correctly by the various sort options in the dropdown (Best Sellers, Alphabetically, Price, Created Date,... etc) [50]","chromium","2026-03-31","passed","2026-03-31","","06-product-listing.spec.ts","",""
"","27676","On the Checkout Page, I am prompted to select my country and enter my shipping address. The shipping address form should be customized to match my selected country's address format (no postal code in the UK as an example). [7]","chromium","2026-03-31","passed","2026-03-31","","02-checkout.spec.ts","",""
"","7375","On the Product Details Page, I am able to view the product breadcrumb, which is based on the product's primary category. Known Bug 50342 [28]","chromium","2026-03-31","passed","2026-03-31","","05-product-details.spec.ts","",""
"","30303","When I have gone to checkout and submitted my address then gone back to the homepage and open my mini cart, I am able to view the line items on my order, their prices, the order subtotal, any relevant item level discounts, and relevant order level discounts, taxes, shipping, and then the final total. [1]","chromium","2026-03-31","passed","2026-03-31","","01-cart-minicart.spec.ts","",""
"","14777","When I search for a product that doesn't exist or gibberish text (ex. sdlkfjasdl), I am not shown any results

Known Bug 51226 [56]","chromium","2026-03-31","passed","2026-03-31","","07-search.spec.ts","",""
"","17778","[Real Madrid, BVB, Standard] When I scroll down the homepage, the navbar should dissapear. When I scroll back up any amount, the navbar should re-appear [19]","chromium","2026-03-31","passed","2026-03-31","","03-homepage-navigation.spec.ts","",""
"","74191","On the Checkout Page, I am presented with the option to pay by credit card. [12]","chromium","2026-03-31","passed","2026-03-31","","02-checkout.spec.ts","",""
"","13067","On the Product Listing Page sufficient size, I am able to navigate to subsequent pages by using the pagination controls at the bottom of the page. We can test this by doing an empty search [61]","chromium","2026-03-31","passed","2026-03-31","","07-search.spec.ts","",""
"","40957","On the order confirmation page, the customers correct address, name, payment summary (with multiple line items if split fulfillment), and shipping cards (multiple if split fulfillment) with correct badge are rendered [13]","chromium","2026-03-31","passed","2026-03-31","","02-checkout.spec.ts","",""
"","12124","[Standard] On a Product with multiple colors, if color swatches are defined in Contentful I should see them on the Product cards on the search results page. MyShops and Legends have color swatches defined. [62]","chromium","2026-03-31","passed","2026-03-31","","07-search.spec.ts","",""
